word,frequency
nan,673
course,112
exam,89
concern,82
semester,66
concerned,66
m,64
calculus,44
not,42
linear,41
algebra,41
work,41
time,41
learn,40
na,37
class,35
able,34
worried,34
like,33
need,32
understand,31
content,30
material,28
practice,26
take,26
quiz,21
think,21
lot,20
far,20
study,20
feel,19
grade,19
struggle,18
help,17
assignment,17
test,17
question,17
hard,17
thing,16
year,16
school,16
math,15
multivariable,14
look,14
difficulty,14
bit,14
good,14
problem,13
difficult,13
little,13
go,13
week,13
knowledge,12
hope,12
review,12
excited,12
well,12
know,12
manage,12
video,11
topic,11
studio,11
get,11
believe,11
concept,11
ve,10
complete,10
high,10
pace,10
workload,10
hear,10
have,10
break,10
watch,10
ill,9
lesson,9
fully,9
session,9
lecture,9
will,9
ability,9
final,9
online,9
want,9
spring,9
issue,8
understanding,8
extra,8
prepare,8
keep,8
sure,8
stay,8
fall,8
attend,8
enjoy,8
try,8
bc,7
confident,7
great,7
compare,7
lack,7
balance,7
information,7
forget,7
especially,7
worry,7
point,7
forward,7
date,7
calc,6
challenge,6
module,6
mml,6
scared,6
miss,6
big,6
give,6
weight,6
student,6
start,6
schedule,6
find,6
individual,6
afraid,6
impression,6
people,6
inperson,6
different,6
easy,6
remember,6
ap,6
person,5
college,5
come,5
s,5
homework,5
strong,5
ask,5
main,5
level,5
unit,5
cover,5
application,5
worth,5
fact,5
weekly,5
plan,5
distance,5
physics,5
end,5
love,5
later,4
certain,4
textbook,4
bad,4
helpful,4
base,4
retain,4
teach,4
alright,4
say,4
moment,4
true,4
make,4
ensure,4
skill,4
learning,4
require,4
important,4
use,4
hopefully,4
definitely,4
day,4
management,4
stress,4
expect,4
nervous,4
subject,4
long,4
grasp,4
live,4
ahead,4
procrastination,4
build,3
write,3
technical,3
process,3
finish,3
format,3
unsure,3
mainly,3
similar,3
large,3
number,3
solve,3
version,3
new,3
relate,3
away,3
actual,3
rely,3
prerequisite,3
anymore,3
mmls,3
rigorous,3
particular,3
ll,3
consider,3
false,3
focus,3
slightly,3
personally,3
line,3
foundation,3
credit,3
opinion,3
b,3
conceptual,3
theoretical,3
affect,3
spend,3
resource,3
lose,3
pretty,3
multi,3
instead,3
personal,3
hour,3
ready,3
specific,3
county,3
fulton,3
senior,3
turn,3
heavy,3
perform,3
fast,3
prior,3
general,3
abbc,3
mvc,3
worksheet,3
brain,2
fantastic,2
fundamental,2
early,2
result,2
mastery,2
explore,2
put,2
effort,2
senioritis,2
pass,2
access,2
include,2
count,2
weightage,2
right,2
percentage,2
pressure,2
quick,2
coursework,2
rusty,2
old,2
canvas,2
way,2
gain,2
sufficient,2
small,2
professor,2
jump,2
catch,2
matrix,2
nighpcare,2
permanently,2
kind,2
assessment,2
prep,2
additional,2
appropriate,2
additionally,2
advanced,2
scare,2
example,2
ago,2
commipcent,2
gt,2
load,2
weak,2
drop,2
begin,2
consistently,2
quickly,2
dr,2
mayer,2
complicated,2
previously,2
state,2
adequately,2
portion,2
derivative,2
integral,2
proficient,2
complex,2
easily,2
current,2
specifically,2
mention,2
guidance,2
teacher,2
happen,2
apply,2
useful,2
mean,2
room,2
major,2
tend,2
fairly,2
continue,2
vector,2
hold,2
attention,2
nonetheless,2
recording,2
stop,2
guess,2
few,2
dedicate,2
home,2
overwheace,2
office,2
answer,2
soon,2
form,2
spatial,2
reasoning,2
interesting,2
pacing,2
track,2
facetoface,2
facilitator,2
april,2
th,2
family,2
sort,2
idea,2
accountable,2
wisely,2
poorly,2
favorite,2
cs,2
combat,2
function,2
effectively,2
procrastinate,2
maybe,2
habit,2
orchestra,2
overlap,2
event,2
talk,2
qhs,2
simple,2
expand,2
india,2
multiple,2
interested,2
term,2
experience,2
somewhat,2
breakdown,2
piece,2
receive,2
trouble,2
testing,2
maintain,2
escape,1
sample,1
item,1
foundational,1
studyprepare,1
degree,1
clear,1
comprehensive,1
activity,1
mv,1
fix,1
note,1
depth,1
forth,1
victim,1
perfectionist,1
dread,1
imagine,1
fly,1
color,1
unable,1
encounter,1
delay,1
properly,1
record,1
resolve,1
technological,1
gatech,1
instructure,1
portal,1
win,1
succeed,1
duedate,1
gpa,1
allocation,1
prevent,1
sernioritis,1
paralyze,1
effectiveness,1
structure,1
skip,1
intermediate,1
step,1
mild,1
unaware,1
middle,1
wording,1
occasional,1
explanation,1
change,1
update,1
enable,1
classs,1
simply,1
completely,1
mercy,1
lagrange,1
pick,1
surround,1
ta,1
instructor,1
guard,1
appear,1
feed,1
probably,1
address,1
calculator,1
d,1
holidayseventsexam,1
see,1
past,1
glad,1
sound,1
provide,1
applicable,1
abstraction,1
reach,1
varied,1
anxious,1
briefly,1
navigable,1
allow,1
optimal,1
doubt,1
performance,1
individually,1
similarity,1
layout,1
repeat,1
mobile,1
wish,1
single,1
walk,1
intimidate,1
deadline,1
align,1
add,1
necessary,1
regain,1
dislike,1
helped,1
support,1
multivar,1
alg,1
ignore,1
impact,1
nsette,1
diversity,1
sheet,1
webwork,1
available,1
nd,1
increase,1
complexity,1
occasionally,1
daunt,1
comparison,1
weigh,1
leap,1
mass,1
examination,1
series,1
importance,1
ab,1
execute,1
mitigate,1
stuff,1
groove,1
lecturer,1
lady,1
job,1
actually,1
decent,1
reason,1
task,1
ultimately,1
fail,1
onlinenot,1
mix,1
technique,1
ineffective,1
involve,1
luckily,1
group,1
part,1
improve,1
combine,1
fastmove,1
rest,1
retry,1
show,1
promote,1
getting,1
sufficiently,1
despite,1
recall,1
outside,1
incorporation,1
month,1
timing,1
busy,1
unlike,1
bolster,1
extremely,1
better,1
likely,1
seek,1
source,1
deeply,1
read,1
gradewise,1
error,1
reinforce,1
act,1
engage,1
related,1
generally,1
mixed,1
challenging,1
linalg,1
overall,1
proper,1
normally,1
previous,1
kahoot,1
gauge,1
slight,1
examtake,1
quarter,1
altogether,1
succee,1
collegiate,1
checkpoint,1
roll,1
career,1
motivate,1
push,1
special,1
internet,1
let,1
continuation,1
nah,1
meet,1
nope,1
okay,1
greatly,1
geometry,1
impeccable,1
winter,1
instruction,1
confuse,1
syllabus,1
supervision,1
wednesday,1
apr,1
entire,1
ga,1
tech,1
dekalb,1
forsyth,1
cobb,1
assume,1
vacation,1
selfguide,1
addition,1
removal,1
frustrating,1
zs,1
debate,1
definently,1
motivation,1
alongside,1
particularly,1
fond,1
proof,1
reorganize,1
crunch,1
internship,1
robotic,1
participant,1
theatre,1
program,1
rehearse,1
production,1
clarity,1
late,1
prepared,1
upcoming,1
complacent,1
close,1
pack,1
warn,1
weeksmodule,1
significantly,1
consume,1
short,1
responsibility,1
play,1
soccer,1
team,1
formatting,1
corner,1
mind,1
monkey,1
exceptional,1
beginning,1
cram,1
paranoid,1
research,1
accumulate,1
lower,1
drastically,1
absolutely,1
participate,1
allday,1
lgpe,1
birthday,1
smart,1
voice,1
greg,1
unstable,1
environment,1
dean,1
refreshing,1
contrast,1
nocalculator,1
daunting,1
oppose,1
wonder,1
aware,1
unique,1
utilize,1
horrible,1
opprotunity,1
reflect,1
capability,1
peer,1
discipline,1
preparation,1
possible,1
achieve,1
success,1
neededwork,1
deep,1
space,1
remain,1
uptospeedahead,1
strive,1
view,1
lense,1
videos,1
jan,1
feb,1
partial,1
second,1
significant,1
computational,1
solving,1
timeconsuming,1
pursue,1
passion,1
field,1
hectic,1
segment,1
interfere,1
snowball,1
heavily,1
confused,1
follow,1
trust,1
porblem,1
memorize,1
rule,1
definition,1
overwhleme,1
proximity,1
selftaught,1
focused,1
set,1
match,1
coverage,1
impress,1
plenty,1
clarification,1
subsequent,1
mathematic,1
daily,1
funenjoyable,1
visualize,1
unprepared,1
reasonable,1
alot,1
friend,1
variable,1
extracurricular,1
assistance,1
master,1
appreciate,1
post,1
fine,1
autism,1
spectrum,1
basic,1
accommodation,1
half,1
separate,1
contact,1
real,1
java,1
script,1
programming,1
extenuating,1
circumstance,1
emphasis,1
writing,1
hw,1
inform,1
ethic,1
enrich,1
ant,1
check,1
centralized,1
location,1
redo,1
punctual,1
manner,1
delve,1
rigor,1
healthy,1
strategy,1
coordinate,1
administer,1
organize,1
proactive,1
notification,1
email,1
word,1
area,1
avoid,1
serve,1
rush,1
consistent,1
piazza,1
adequate,1
successful,1
sidetrack,1
ib,1
currently,1
